Ranking,Institution,Faculty Count,Average Citations,Country,Continent
1,Western University,22,35541.43,Canada,North America
2,Univ. of California - Berkeley,115,33783.05,USA,North America
3,Max Planck Society,42,33248.41,Germany,Europe
4,Stanford University,72,31096.65,USA,North America
5,California Institute of Technology,18,30275.4,USA,North America
6,Massachusetts Institute of Technology,116,27843.65,USA,North America
7,Columbia University,61,26884.52,USA,North America
8,Princeton University,45,25568.5,USA,North America
9,Univ. of California - Los Angeles,47,25108.02,USA,North America
10,University of Montreal,47,25079.08,Canada,North America
11,Weizmann Institute of Science,28,24700.92,Israel,Asia
12,University of Freiburg,17,24276.06,Germany,Europe
13,Westlake University,3,23408.67,China,Asia
14,Harvard University,34,22430.81,USA,North America
15,Johns Hopkins University,35,21812.31,USA,North America
16,ETH Zurich,50,21526.76,Switzerland,Europe
17,University of Waikato,29,21214.41,New Zealand,Australia
18,NYU Shanghai,3,21052.0,China,Asia
19,University of Rochester,25,20361.53,USA,North America
20,Cornell University,87,18431.03,USA,North America
21,Univ. of California - San Diego,128,18408.85,USA,North America
22,University of Kansas,41,17759.5,USA,North America
23,Carnegie Mellon University,185,17620.46,USA,North America
24,University of Minnesota,47,17573.6,USA,North America
25,University of Pennsylvania,65,17352.34,USA,North America
26,HKUST,61,17217.64,Hong Kong,Asia
27,EPFL,70,17145.11,Switzerland,Europe
28,Georgetown University,22,16728.29,USA,North America
29,Università della Svizzera italiana,30,16650.5,Switzerland,Europe
30,The Hong Kong Polytechnic University,17,16308.47,Hong Kong,Asia
31,TTI Chicago,13,16185.69,USA,North America
32,University of Texas at Austin,58,16103.92,USA,North America
33,Michigan State University,38,15730.21,USA,North America
34,Ecole Normale Superieure,32,15486.24,France,Europe
35,University of Southern California,60,15436.1,USA,North America
36,LMU Munich,30,14961.65,Germany,Europe
37,KAUST,22,14563.05,Saudi Arabia,Asia
38,Nanyang Technological University,75,14360.62,Singapore,Asia
39,Univ. of Illinois at Urbana-Champaign,127,14284.73,USA,North America
40,Pennsylvania State University,65,14035.82,USA,North America
41,University of Manitoba,31,13933.95,Canada,North America
42,Queen’s University,31,13657.59,Canada,North America
43,University of Edinburgh,117,13538.31,UK,Europe
44,University of Washington,80,13526.71,USA,North America
45,University College London,91,13321.54,UK,Europe
46,University of Alberta,56,13296.57,Canada,North America
47,University of Chicago,51,13138.93,USA,North America
48,University of Leipzig,16,13052.0,Germany,Europe
49,New York University,73,13030.06,USA,North America
50,University of Notre Dame,33,12781.68,USA,North America
51,University of Maryland - College Park,106,12683.59,USA,North America
52,Hasso Plattner Institute,18,12627.85,Germany,Europe
53,Northeastern University,86,12546.98,USA,North America
54,Duke University,59,12410.69,USA,North America
55,University of Amsterdam,26,12242.88,Netherlands,Europe
56,Brown University,38,12214.44,USA,North America
57,University of Bremen,20,12212.62,Germany,Europe
58,Univ. of California - Irvine,81,12177.9,USA,North America
59,NWPU,20,12045.86,China,Asia
60,University of Texas at Arlington,36,11911.71,USA,North America
61,Univ. of California - Merced,22,11903.72,USA,North America
62,Yale University,36,11866.62,USA,North America
63,Washington University in St. Louis,30,11769.31,USA,North America
64,Univ. of California - Santa Barbara,47,11603.79,USA,North America
65,University of Mannheim,10,11595.88,Germany,Europe
66,TU Munich,61,11548.06,Germany,Europe
67,TU Berlin,50,11493.57,Germany,Europe
68,National Taiwan University,44,11428.78,Taiwan,Asia
69,University of Oxford,77,11372.68,UK,Europe
70,University of Toronto,107,11351.56,Canada,North America
71,RWTH Aachen,34,11248.39,Germany,Europe
72,Chinese University of Hong Kong,46,11226.02,Hong Kong,Asia
73,Rice University,33,11178.71,USA,North America
74,MBZUAI,22,11112.95,UAE,Asia
75,Hebrew University of Jerusalem,49,10929.89,Israel,Asia
76,Imperial College London,68,10897.14,UK,Europe
77,Georgia Institute of Technology,115,10811.49,USA,North America
78,Victoria University of Wellington,46,10718.03,New Zealand,Australia
79,University of North Carolina,45,10592.23,USA,North America
80,University of Tennessee,45,10477.17,USA,North America
81,York University,43,10359.65,Canada,North America
82,Univ. of California - Davis,51,10292.93,USA,North America
83,University of Sydney,47,10292.93,Australia,Australia
84,Karlsruhe Institute of Technology,34,10134.23,Germany,Europe
85,University of Cambridge,54,10133.29,UK,Europe
86,USTC,30,10104.86,China,Asia
87,Purdue University,87,10071.75,USA,North America
88,University of Arizona,26,10040.5,USA,North America
89,University of Tübingen,40,10032.54,Germany,Europe
90,University of Michigan,103,9943.98,USA,North America
91,University of South Florida,22,9898.43,USA,North America
92,HSE University,17,9850.62,Russia,Europe
93,Univ. of Maryland - Baltimore County,34,9835.56,USA,North America
94,Rensselaer Polytechnic Institute,27,9795.1,USA,North America
95,University of Bern,4,9764.25,Switzerland,Europe
96,Tel Aviv University,51,9757.85,Israel,Asia
97,University of Wisconsin - Madison,75,9757.67,USA,North America
98,Simon Fraser University,60,9757.23,Canada,North America
99,University of Adelaide,34,9754.4,Australia,Australia
100,CWI,32,9724.45,Netherlands,Europe
101,University of Stuttgart,35,9719.54,Germany,Europe
102,Temple University,21,9716.81,USA,North America
103,KAIST,110,9650.49,South Korea,Asia
104,Brno University of Technology,8,9558.8,Czech Republic,Europe
105,University of Kent,48,9558.28,UK,Europe
106,University of Hildesheim,3,9501.33,Germany,Europe
107,University of Luxembourg,22,9411.31,Luxembourg,Europe
108,University of Manchester,39,9395.26,UK,Europe
109,Bar-Ilan University,27,9338.0,Israel,Asia
110,Vanderbilt University,48,9186.25,USA,North America
111,University of Illinois at Chicago,59,9115.67,USA,North America
112,University of Melbourne,68,9112.42,Australia,Australia
113,Arizona State University,44,9104.81,USA,North America
114,Stony Brook University,64,9049.31,USA,North America
115,IIT Guwahati,28,8993.26,India,Asia
116,University of Konstanz,14,8974.0,Germany,Europe
117,Tsinghua University,160,8948.67,China,Asia
118,TU Darmstadt,31,8939.74,Germany,Europe
119,Czech Technical University,27,8937.15,Czech Republic,Europe
120,University of Oklahoma,17,8909.75,USA,North America
121,Ecole Normale Superieure de Cachan,25,8813.56,France,Europe
122,Goethe University Frankfurt,25,8778.19,Germany,Europe
123,University of Hong Kong,33,8751.0,Hong Kong,Asia
124,Technion,101,8638.16,Israel,Asia
125,JKU Linz,35,8608.69,Austria,Europe
126,University of Virginia,42,8584.43,USA,North America
127,University of British Columbia,65,8582.68,Canada,North America
128,University of Vienna,26,8507.0,Austria,Europe
129,University of Southern Mississippi,13,8500.0,USA,North America
130,Missouri University of Technology,10,8487.9,USA,North America
131,University of Surrey,27,8476.96,UK,Europe
132,University of Massachusetts Amherst,67,8463.67,USA,North America
133,Lund University,14,8398.91,Sweden,Europe
134,Dartmouth College,26,8384.17,USA,North America
135,Univ. of California - Riverside,48,8370.21,USA,North America
136,University of Utah,72,8324.67,USA,North America
137,Sun Yat-sen University,15,8319.27,China,Asia
138,Ohio State University,42,8290.75,USA,North America
139,Boston University,43,8280.24,USA,North America
140,NJIT,37,8250.24,USA,North America
141,Emory University,20,8190.68,USA,North America
142,Graz University of Technology,56,8166.45,Austria,Europe
143,Carleton University,33,8163.33,Canada,North America
144,Rutgers University,61,8089.71,USA,North America
145,University of Zurich,18,8081.33,Switzerland,Europe
146,National University of Singapore,79,8069.45,Singapore,Asia
147,VU Amsterdam,55,8038.3,Netherlands,Europe
148,McGill University,31,7871.07,Canada,North America
149,University of Trento,42,7854.56,Italy,Europe
150,University of Otago,17,7846.69,New Zealand,Australia
151,Indiana University,110,7836.95,USA,North America
152,University of Marburg,9,7765.17,Germany,Europe
153,Queen Mary University of London,36,7748.74,UK,Europe
154,Texas A&M at Qatar,12,7729.42,Qatar,Asia
155,University of Helsinki,29,7687.34,Finland,Europe
156,Bilkent University,18,7674.56,Turkey,Asia
157,University of Queensland,51,7671.68,Australia,Australia
158,University of Texas at Dallas,58,7557.57,USA,North America
159,University at Buffalo,52,7547.5,USA,North America
160,University of Missouri,16,7537.82,USA,North America
161,Bielefeld University,13,7534.22,Germany,Europe
162,TU Dresden,28,7481.62,Germany,Europe
163,Colorado School of Mines,12,7458.0,USA,North America
164,Scuola Superiore Sant'Anna,5,7419.6,Italy,Europe
165,Shanghai Jiao Tong University,97,7387.78,China,Asia
166,University of Waterloo,107,7374.74,Canada,North America
167,Hong Kong Baptist University,17,7347.27,Hong Kong,Asia
168,University of Bonn,23,7336.2,Germany,Europe
169,Wuhan University,20,7280.33,China,Asia
170,Colorado State University,19,7249.24,USA,North America
171,Northwestern University,50,7210.48,USA,North America
172,Oregon State University,65,7181.98,USA,North America
173,Saarland University,34,7179.44,Germany,Europe
174,University of Central Florida,66,7149.86,USA,North America
175,North Carolina State University,63,7127.34,USA,North America
176,Soochow University,41,7115.43,China,Asia
177,University of Massachusetts Boston,16,7111.46,USA,North America
178,EURECOM,26,7084.62,France,Europe
179,Univ. of California - Santa Cruz,70,7020.29,USA,North America
180,University of Connecticut,33,6982.28,USA,North America
181,University of Innsbruck,16,6977.07,Austria,Europe
182,UCCS,15,6965.79,USA,North America
183,Chinese Academy of Sciences,76,6960.46,China,Asia
184,University of Saskatchewan,24,6873.94,Canada,North America
185,KU Leuven,49,6831.54,Belgium,Europe
186,University of Nebraska,28,6825.12,USA,North America
187,IST Austria,47,6817.12,Austria,Europe
188,University of Würzburg,19,6787.92,Germany,Europe
189,City University of Hong Kong,44,6777.33,Hong Kong,Asia
190,University of Oregon,20,6731.22,USA,North America
191,Monash University,93,6730.74,Australia,Australia
192,University of Tokyo,87,6722.8,Japan,Asia
193,University of Athens,37,6666.41,Greece,Europe
194,Heidelberg University,26,6664.42,Germany,Europe
195,CUNY,82,6662.78,USA,North America
196,University of Pittsburgh,50,6628.53,USA,North America
197,University of Erlangen–Nuremberg,30,6593.18,Germany,Europe
198,Fudan University,83,6553.58,China,Asia
199,Bauhaus University Weimar,9,6540.0,Germany,Europe
200,Drexel University,19,6512.58,USA,North America
201,University of Kassel,12,6450.67,Germany,Europe
202,SUSTech,47,6449.02,China,Asia
203,IMDEA Networks Institute,12,6448.75,Spain,Europe
204,TU Eindhoven,53,6401.16,Netherlands,Europe
205,University of Colorado Boulder,79,6384.73,USA,North America
206,UNSW,70,6380.26,Australia,Australia
207,University of Wyoming,4,6332.75,USA,North America
208,George Mason University,64,6327.87,USA,North America
209,Peking University,169,6281.93,China,Asia
210,TU Braunschweig,14,6209.69,Germany,Europe
211,University of Newcastle,5,6175.6,Australia,Australia
212,Politecnico di Milano,87,6163.22,Italy,Europe
213,Australian National University,64,6145.5,Australia,Oceania
214,University of Memphis,11,6136.5,USA,North America
215,University of Florida,47,6136.15,USA,North America
216,Zhejiang University,108,6099.59,China,Asia
217,University of Houston,31,6075.87,USA,North America
218,Humboldt University of Berlin,20,6061.73,Germany,Europe
219,SUTD,22,6041.91,Singapore,Asia
220,TU Wien,64,6041.38,Austria,Europe
221,Ruhr-University Bochum,21,6041.33,Germany,Europe
222,University of Regina,15,6023.0,Canada,North America
223,University of Calgary,45,6011.53,Canada,North America
224,University of Ottawa,46,5997.07,Canada,North America
225,University of Hawaii at Manoa,22,5978.47,USA,North America
226,Aalto University,50,5960.33,Finland,Europe
227,University of Western Australia,17,5911.38,Australia,Australia
228,Ben-Gurion University of the Negev,18,5888.93,Israel,Asia
229,Texas A&M University,61,5879.07,USA,North America
230,University of Hamburg,27,5876.5,Germany,Europe
231,Cleveland State University,18,5858.3,USA,North America
232,Seoul National University,58,5840.2,South Korea,Asia
233,University of Warwick,49,5827.49,UK,Europe
234,Singapore Management University,43,5822.0,Singapore,Asia
235,University of Southampton,82,5816.54,UK,Europe
236,University of York,51,5792.8,UK,Europe
237,POSTECH,34,5792.58,South Korea,Asia
238,University of Hannover,23,5777.4,Germany,Europe
239,Florida State University,27,5774.08,USA,North America
240,Tata Inst. of Fundamental Research,14,5737.33,India,Asia
241,University of Auckland,45,5734.43,New Zealand,Australia
242,University of Passau,14,5700.25,Germany,Europe
243,Western Michigan University,13,5658.6,USA,North America
244,George Washington University,19,5652.36,USA,North America
245,Kyoto University,48,5616.67,Japan,Asia
246,Washington State University,53,5606.46,USA,North America
247,TU Delft,77,5605.6,Netherlands,Europe
248,Northern Arizona University,29,5572.86,USA,North America
249,Case Western Reserve University,18,5557.79,USA,North America
250,University of Massachusetts Lowell,38,5528.67,USA,North America
251,University of Crete,25,5513.92,Greece,Europe
252,University of Texas at San Antonio,20,5505.16,USA,North America
253,TU Dortmund,21,5498.67,Germany,Europe
254,University of Canterbury,17,5488.45,New Zealand,Australia
255,Rochester Institute of Technology,99,5461.87,USA,North America
256,Osaka University,32,5447.22,Japan,Asia
257,Tufts University,19,5431.83,USA,North America
258,Université libre de Bruxelles,18,5419.81,Belgium,Europe
259,West Virginia University,15,5419.8,USA,North America
260,Freie Universitaet Berlin,7,5407.6,Germany,Europe
261,University of Düsseldorf,13,5354.0,Germany,Europe
262,Radboud University,58,5340.35,Netherlands,Europe
263,Simula UiB,2,5338.0,Norway,Europe
264,IIT Kanpur,34,5318.21,India,Asia
265,University of Miami,11,5308.57,USA,North America
266,TU Kaiserslautern,27,5271.86,Germany,Europe
267,Syracuse University,33,5256.09,USA,North America
268,Tampere University,41,5255.02,Finland,Europe
269,University of Guelph,30,5249.24,Canada,North America
270,University of Sannio,14,5238.38,Italy,Europe
271,Brigham Young University,30,5224.6,USA,North America
272,University of New Brunswick,21,5216.0,Canada,North America
273,University of Potsdam,14,5213.7,Germany,Europe
274,University of Delaware,31,5211.07,USA,North America
275,Brunel University London,36,5203.74,UK,Europe
276,Qatar Computing Research Institute,16,5192.25,Qatar,Asia
277,ETS Montreal,15,5164.47,Canada,North America
278,Ontario Tech University,15,5157.8,Canada,North America
279,University of Groningen,12,5114.27,Netherlands,Europe
280,Bocconi University,6,5094.33,Italy,Europe
281,University of Bath,30,5088.12,UK,Europe
282,Louisiana State University,16,5061.11,USA,North America
283,Queensland University of Technology,19,5053.53,Australia,Australia
284,Worcester Polytechnic Institute,46,5046.54,USA,North America
285,College of William and Mary,19,5045.31,USA,North America
286,University of Bergen,36,5041.8,Norway,Europe
287,UNC - Charlotte,19,5037.3,USA,North America
288,University of New Mexico,14,4979.14,USA,North America
