Ranking,Institution,Faculty Count,Average h-index,Country,Continent
290,University of Hawaii at Manoa,22,27.93,USA,North America
291,University of Göttingen,16,27.8,Germany,Europe
292,University of Illinois at Chicago,59,27.78,USA,North America
293,University of Guelph,30,27.76,Canada,North America
294,CISPA Helmholtz Center,31,27.7,Germany,Europe
295,University of Leeds,35,27.7,UK,Europe
296,Tampere University,41,27.54,Finland,Europe
297,AUEB,29,27.52,Greece,Europe
298,University of Münster,23,27.5,Germany,Europe
299,University of Delaware,31,27.48,USA,North America
300,University of Bayreuth,13,27.4,Germany,Europe
301,University of Koblenz-Landau,19,27.36,Germany,Europe
302,Worcester Polytechnic Institute,46,27.31,USA,North America
303,PUC-RIO,20,27.3,Brazil,South America
304,Cleveland State University,18,27.3,USA,North America
305,KTH Royal Institute of Technology,75,27.26,Sweden,Europe
306,Queensland University of Technology,19,27.24,Australia,Australia
307,Australian National University,64,27.19,Australia,Oceania
308,University of Birmingham,46,27.17,UK,Europe
309,CUNY,82,27.14,USA,North America
310,Tokyo Institute of Technology,59,27.14,Japan,Asia
311,Koç University,10,27.12,Turkey,Asia
312,Washington State University,53,27.1,USA,North America
313,Binghamton University,25,27.08,USA,North America
314,HUST,27,27.06,China,Asia
315,Fudan University,83,27.02,China,Asia
316,Illinois Institute of Technology,24,27.0,USA,North America
317,Simmons University,1,27.0,USA,North America
318,University of Twente,1,27.0,Netherlands,Europe
319,POSTECH,34,27.0,South Korea,Asia
320,Clemson University,42,26.97,USA,North America
321,Colorado School of Mines,12,26.91,USA,North America
322,University of Liverpool,76,26.88,UK,Europe
323,Harbin Institute of Technology,101,26.83,China,Asia
324,University of Rostock,17,26.79,Germany,Europe
325,Birkbeck University of London,29,26.74,UK,Europe
326,Syracuse University,33,26.73,USA,North America
327,HSE University,17,26.62,Russia,Europe
328,University of Sheffield,53,26.6,UK,Europe
329,University of Georgia,25,26.48,USA,North America
330,University of Oldenburg,16,26.44,Germany,Europe
331,Louisiana State University,16,26.44,USA,North America
332,UFMG,60,26.4,Brazil,South America
333,Bilkent University,18,26.39,Turkey,Asia
334,National Chiao Tung University,68,26.38,Taiwan,Asia
335,Virginia Tech,68,26.37,USA,North America
336,University of Auckland,45,26.36,New Zealand,Australia
337,Tata Inst. of Fundamental Research,14,26.33,India,Asia
338,University of North Texas,27,26.32,USA,North America
339,Dalhousie University,39,26.31,Canada,North America
340,Kansas State University,17,26.29,USA,North America
341,Iowa State University,36,26.27,USA,North America
342,University of Pisa,64,26.25,Italy,Europe
343,University of South Carolina,33,26.23,USA,North America
344,UESTC,130,26.22,China,Asia
345,Wayne State University,22,26.2,USA,North America
346,TU Clausthal,9,26.17,Germany,Europe
347,Tufts University,19,26.17,USA,North America
348,Uppsala University,75,26.15,Sweden,Europe
349,Waseda University,14,26.11,Japan,Asia
350,Polytechnic University of Catalonia,61,26.08,Spain,Europe
351,University of Bath,30,26.04,UK,Europe
352,University of New Brunswick,21,25.94,Canada,North America
353,University of Lübeck,27,25.86,Germany,Europe
354,King's College London,51,25.77,UK,Europe
355,University of Bamberg,16,25.75,Germany,Europe
356,University of Maine,6,25.75,USA,North America
357,University of Aberdeen,14,25.73,UK,Europe
358,Keio University,17,25.71,Japan,Asia
359,University of Massachusetts Lowell,38,25.67,USA,North America
360,Friedrich Schiller University Jena,18,25.67,Germany,Europe
361,Xidian University,61,25.62,China,Asia
362,IIT Bhubaneswar,2,25.5,India,Asia
363,Jacobs University Bremen,6,25.5,Germany,Europe
364,Brigham Young University,30,25.48,USA,North America
365,National Tsing Hua University,42,25.45,Taiwan,Asia
366,Brandeis University,16,25.45,USA,North America
367,University of Tulsa,11,25.44,USA,North America
368,Utrecht University,47,25.34,Netherlands,Europe
369,Aarhus University,42,25.31,Denmark,Europe
370,Concordia University,45,25.3,Canada,North America
371,Universidad de Chile,15,25.27,Chile,South America
372,University of Osnabrück,12,25.22,Germany,Europe
373,Old Dominion University,15,25.15,USA,North America
374,University College Dublin,52,25.15,Ireland,Europe
375,University of Salerno,70,25.15,Italy,Europe
376,Aalborg University,43,25.12,Denmark,Europe
377,IIT Kanpur,34,25.07,India,Asia
378,IMDEA Software Institute,17,25.06,Spain,Europe
379,IMSc,8,25.0,India,Asia
380,University of Louisville,14,25.0,USA,North America
381,Florida Institute of Technology,13,25.0,USA,North America
382,Hamburg University of Technology,15,25.0,Germany,Europe
383,University of Alabama - Birmingham,10,25.0,USA,North America
384,Western Michigan University,13,24.8,USA,North America
385,IPM,3,24.67,Iran,Asia
386,University of Sussex,25,24.65,UK,Europe
387,University of Piraeus,46,24.65,Greece,Europe
388,Cyprus University of Technology,12,24.64,Cyprus,Europe
389,University of Cincinnati,20,24.54,USA,North America
390,Tulane University,10,24.5,USA,North America
391,University of Bristol,47,24.49,UK,Europe
392,Ryerson University,19,24.45,Canada,North America
393,City University of London,39,24.44,UK,Europe
394,University of Ioannina,26,24.4,Greece,Europe
395,Drexel University,19,24.37,USA,North America
396,Bundeswehr University Munich,21,24.15,Germany,Europe
397,University of Missouri - Kansas City,17,24.15,USA,North America
398,Universidade de Lisboa,160,24.13,Portugal,Europe
399,Aberystwyth University,19,24.0,UK,Europe
400,Claremont Graduate University,6,24.0,USA,North America
401,Korea University,30,23.94,South Korea,Asia
402,University of Copenhagen,68,23.92,Denmark,Europe
403,IIT Kharagpur,44,23.9,India,Asia
404,Sabancı University,11,23.89,Turkey,Asia
405,Auburn University,17,23.85,USA,North America
406,Masdar Institute,17,23.82,UAE,Asia
407,University of Kentucky,29,23.8,USA,North America
408,SUSTech,47,23.79,China,Asia
409,Queen's University Belfast,54,23.76,UK,Europe
410,Boğaziçi University,17,23.69,Turkey,Europe
411,PUC-RS,22,23.68,Brazil,South America
412,NTNU,37,23.67,Norway,Europe
413,University of Iowa,25,23.64,USA,North America
414,Portland State University,19,23.56,USA,North America
415,University of Dundee,18,23.55,UK,Europe
416,Soochow University,41,23.5,China,Asia
417,IIT Delhi,31,23.5,India,Asia
418,National Cheng Kung University,40,23.45,Taiwan,Asia
419,Nanjing University,103,23.44,China,Asia
420,University of Wuppertal,17,23.29,Germany,Europe
421,University of Szeged,12,23.18,Hungary,Europe
422,The University of Alabama,17,23.17,USA,North America
423,Shandong University,33,23.12,China,Asia
424,University of Texas - El Paso,13,23.09,USA,North America
425,IIT Bombay,41,23.0,India,Asia
426,University of Nevada,22,22.95,USA,North America
427,University of Haifa,20,22.94,Israel,Asia
428,University of Exeter,25,22.92,UK,Europe
429,RMIT University,55,22.9,Australia,Australia
430,IIIT Hyderabad,50,22.88,India,Asia
431,Kyung Hee University,6,22.83,South Korea,Asia
432,USP-ICMC,49,22.82,Brazil,South America
433,BUPT,83,22.81,China,Asia
434,IIT Patna,14,22.79,India,Asia
435,Ecole Normale Superieure de Lyon,87,22.76,France,Europe
436,Xi'an Jiaotong University,36,22.67,China,Asia
437,Yonsei University,28,22.64,South Korea,Asia
438,IISc Bangalore,39,22.64,India,Asia
439,Cardiff University,58,22.6,UK,Europe
440,Qatar University,30,22.58,Qatar,Asia
441,Tilburg University,16,22.54,Netherlands,Europe
442,Rochester Institute of Technology,99,22.52,USA,North America
443,University of Alabama - Huntsville,13,22.5,USA,North America
444,Ecole Normale Superieure de Rennes,5,22.5,France,Europe
445,UNICAMP,43,22.23,Brazil,South America
446,Hunan University,53,22.21,China,Asia
447,University of Vermont,24,22.2,USA,North America
448,Mississippi State University,14,22.14,USA,North America
449,University of Tartu,39,22.12,Estonia,Europe
450,Open University UK,42,22.11,UK,Europe
451,Özyeğin University,13,22.0,Turkey,Europe
452,OHSU,10,22.0,USA,North America
453,University of Tsukuba,66,21.94,Japan,Asia
454,UFRGS,63,21.91,Brazil,South America
455,IIT Guwahati,28,21.87,India,Asia
456,Southern Methodist University,10,21.8,USA,North America
457,University of Essex,70,21.78,UK,Europe
458,IIT Indore,10,21.78,India,Asia
459,McMaster University,24,21.71,Canada,North America
460,Kyungpook National University,33,21.69,South Korea,Asia
461,American University of Beirut,23,21.68,Lebanon,Asia
462,Naval Postgraduate School,23,21.67,USA,North America
463,IIT Gandhinagar,11,21.67,India,Asia
464,USP,36,21.57,Brazil,South America
465,IUPUI,23,21.5,USA,North America
466,University of Malaya,21,21.5,Malaysia,Asia
467,University of New Hampshire,11,21.44,USA,North America
468,Université Laval,23,21.4,Canada,North America
469,Masaryk University,42,21.35,Czech Republic,Europe
470,Massey University,43,21.24,New Zealand,Australia
471,University of St Andrews,31,21.2,UK,Europe
472,University of Wyoming,4,21.0,USA,North America
473,Texas Tech University,15,21.0,USA,North America
474,Utah State University,12,21.0,USA,North America
475,IIT (BHU) Varanasi,13,20.9,India,Asia
476,University of Louisiana - Lafayette,22,20.86,USA,North America
477,Stellenbosch University,7,20.71,South Africa,Africa
478,University of Warsaw,62,20.65,Poland,Europe
479,University of Arkansas,19,20.58,USA,North America
480,TU Chemnitz,14,20.57,Germany,Europe
481,IPI PAN,24,20.5,Poland,Europe
482,DePaul University,45,20.38,USA,North America
483,UFF,35,20.38,Brazil,South America
484,University of Murcia,34,20.36,Spain,Europe
485,UFPE,30,20.34,Brazil,South America
486,Ohio University,17,20.33,USA,North America
487,American University in Cairo,9,20.33,Egypt,Africa
488,IIT Ropar,12,20.25,India,Asia
489,UFRJ,38,20.23,Brazil,South America
490,Universidade NOVA de Lisboa,27,20.15,Portugal,Europe
491,University of Wisconsin - Milwaukee,11,20.12,USA,North America
492,Heriot-Watt University,43,20.0,UK,Europe
493,Kent State University,24,20.0,USA,North America
494,DTU,3,20.0,Denmark,Europe
495,Royal Holloway University of London,41,19.94,UK,Europe
496,Texas State University,21,19.88,USA,North America
497,Montana State University,8,19.86,USA,North America
498,University of Buenos Aires,33,19.85,Argentina,South America
499,Charles University,29,19.73,Czech Republic,Europe
500,Universidade de Brasília,17,19.65,Brazil,South America
501,Renmin University of China,50,19.54,China,Asia
502,CRIStAL,132,19.53,France,Europe
503,Durham University,33,19.43,UK,Europe
504,Maastricht University,27,19.41,Netherlands,Europe
505,Lebanese American University,13,19.33,Lebanon,Asia
506,University of Denver,7,19.33,USA,North America
507,Sharif University of Technology,33,19.03,Iran,Asia
508,University of Mississippi,4,19.0,USA,North America
509,IT University of Copenhagen,85,18.9,Denmark,Europe
510,Oakland University,13,18.88,USA,North America
511,Université Jean Monnet,34,18.77,France,Europe
512,CMI,12,18.73,India,Asia
513,Shenzhen University,51,18.67,China,Asia
514,Boise State University,20,18.47,USA,North America
515,University of Idaho,13,18.44,USA,North America
516,Middlesex University,44,18.42,UK,Europe
517,University at Albany - SUNY,14,18.36,USA,North America
518,Universidad de Zaragoza,7,18.33,Spain,Europe
519,IIT Jodhpur,13,18.15,India,Asia
520,Tongji University,23,18.14,China,Asia
521,Boston College,14,18.0,USA,North America
522,Stevens Institute of Technology,29,18.0,USA,North America
523,North Dakota State University,5,18.0,USA,North America
524,Indiana State University,4,18.0,USA,North America
525,University of Cape Town,12,18.0,South Africa,Africa
526,University of Nevada Las Vegas,14,17.9,USA,North America
527,IIT Madras,31,17.6,India,Asia
528,Hanyang University,26,17.39,South Korea,Asia
529,University of A Coruña,81,17.35,Spain,Europe
530,University of Windsor,19,17.3,Canada,North America
531,Memorial University of Newfoundland,20,17.29,Canada,North America
532,IIIT Delhi,39,17.21,India,Asia
533,IIIT Bangalore,30,17.14,India,Asia
534,Istanbul Technical University,25,17.14,Turkey,Asia
535,South Asian University,7,17.0,India,Asia
536,IIT Roorkee,13,16.91,India,Asia
537,Middle East Technical University,30,16.79,Turkey,Asia
538,University of Arkansas - Little Rock,7,16.75,USA,North America
539,Loughborough University,23,16.75,UK,Europe
540,IIT Mandi,14,16.7,India,Asia
541,New Mexico State University,17,16.65,USA,North America
542,BITS Pilani,22,16.5,India,Asia
543,University of Michigan-Dearborn,12,16.4,USA,North America
544,Michigan Technological University,15,16.33,USA,North America
545,University of Wroclaw,31,16.27,Poland,Europe
546,IUST,26,16.24,Iran,Asia
547,Nova Southeastern University,20,16.11,USA,North America
548,Towson University,24,16.11,USA,North America
549,Babeș-Bolyai University,4,16.0,Romania,Europe
550,Ariel University,18,15.41,Israel,Asia
551,Goldsmiths University of London,39,15.35,UK,Europe
552,SUFE,7,15.29,China,Asia
553,IIT Hyderabad,23,15.26,India,Asia
554,University of New Orleans,10,15.25,USA,North America
555,Wichita State University,18,15.15,USA,North America
556,Yıldız Technical University,22,15.0,Turkey,Europe
557,University of Nebraska - Omaha,17,15.0,USA,North America
558,ShanghaiTech University,43,14.77,China,Asia
559,New Mexico Tech,7,14.71,USA,North America
560,Royal Military College of Canada,10,14.6,Canada,North America
561,JUST,22,14.56,Jordan,Asia
562,TOBB ETÜ,13,14.54,Turkey,Asia
563,LUMS,16,14.46,Pakistan,Asia
564,BUET,21,14.28,Bangladesh,Asia
565,Hacettepe University,28,14.25,Turkey,Asia
566,UFPR,35,14.09,Brazil,South America
567,Ruhr-Universty Bochum,1,14.0,Germany,Europe
568,Universidad de los Andes,24,13.95,Colombia,South America
569,UNIST,29,13.76,South Korea,Asia
570,University of Malta,11,13.73,Malta,Europe
571,DAIICT,27,13.7,India,Asia
572,Federal University of Rio Grande,18,13.25,Brazil,South America
573,University of Nicosia,15,13.2,Cyprus,Europe
574,TU Freiberg,4,13.0,Germany,Europe
575,UFU,31,12.92,Brazil,South America
576,Augusta University,29,12.58,USA,North America
577,Louisiana Tech University,4,12.5,USA,North America
578,Oklahoma State University,17,12.5,USA,North America
579,Galatasaray University,13,12.38,Turkey,Europe
580,Universidad Nacional de Córdoba,23,12.36,Argentina,South America
581,UFMS,11,12.29,Brazil,South America
582,KMUTNB,11,12.14,Thailand,Asia
583,Missouri S&T,5,12.0,USA,North America
584,Air Force Institute of Technology,10,12.0,USA,North America
585,King Abdulaziz University,37,12.0,Saudi Arabia,Asia
586,University of Colorado - Denver,8,11.5,USA,North America
587,National Institute of Technology Silchar,20,11.25,India,Asia
588,Universidade Federal de Viçosa,13,11.1,Brazil,South America
589,LIU Post,4,11.0,USA,North America
590,University of Jordan,38,10.76,Jordan,Asia
591,Izmir Institute of Technology,11,10.18,Turkey,Asia
592,BITS Pilani-Goa,27,9.59,India,Asia
593,Chulalongkorn University,16,7.5,Thailand,Asia
594,De La Salle University,36,6.16,Philippines,Asia
595,IIT Goa,9,5.67,India,Asia
596,Wichita State Unitveristy,1,3.0,USA,North America
